Age,Year,Population,CoB,Age group,Age group (condensed),Cases,Incidence,Inc_LCI,Inc_UCI
0,2000,574602,Total (LFS),0-4,0-14,16,2.784536078885907,1.591602962335934,4.521912140500895
0,2001,515290,Total (LFS),0-4,0-14,19,3.6872440761512935,2.2199618009988034,5.758088371904288
0,2002,480434,Total (LFS),0-4,0-14,13,2.705886760720515,1.4407707387495063,4.6271487692708835
0,2003,534282,Total (LFS),0-4,0-14,17,3.181840301563594,1.8535392301457447,5.0944345525221895
0,2004,557393,Total (LFS),0-4,0-14,24,4.30575913224601,2.758781121163427,6.406628284487463
0,2005,556103,Total (LFS),0-4,0-14,23,4.13592446003708,2.621821323935437,6.205917410054078
0,2006,576370,Total (LFS),0-4,0-14,21,3.643492895188854,2.2553795277471393,5.56946592205413
0,2007,574139,Total (LFS),0-4,0-14,26,4.528520097049669,2.9581796769765405,6.635331179927688
0,2008,623988,Total (LFS),0-4,0-14,26,4.166746796412752,2.721857345909912,6.105249473247085
0,2009,607256,Total (LFS),0-4,0-14,28,4.610905450090242,3.0639131858487247,6.664042173855538
0,2010,614435,Total (LFS),0-4,0-14,19,3.0922717618625244,1.861749601563507,4.828965402619578
0,2011,593876,Total (LFS),0-4,0-14,23,3.87286234836902,2.455062510868377,5.811195080258005
0,2012,628066,Total (LFS),0-4,0-14,21,3.3435976473810074,2.069739642661151,5.111044179265139
0,2013,631962,Total (LFS),0-4,0-14,11,1.7406109861035948,0.8689067328790084,3.114433860469768
0,2014,589326,Total (LFS),0-4,0-14,19,3.2240220183735318,1.9410718624949066,5.034709748354154
0,2015,590651,Total (LFS),0-4,0-14,17,2.8781801774652034,1.6766460176326272,4.608245277821693
0,2016,602269,Total (LFS),0-4,0-14,0,0,0,0.6124969829285477
1,2000,591803,Total (LFS),0-4,0-14,22,3.7174532741469712,2.329708175225474,5.628268931912349
1,2001,563323,Total (LFS),0-4,0-14,26,4.615469277838824,3.014977768632976,6.762731875518134
1,2002,564505,Total (LFS),0-4,0-14,32,5.668683182611314,3.8773751005366766,8.00248927457161
1,2003,552842,Total (LFS),0-4,0-14,26,4.702971192492611,3.0721369244008847,6.890942454286219
1,2004,563698,Total (LFS),0-4,0-14,36,6.386398390627606,4.472954918647081,8.841467326340734
1,2005,600084,Total (LFS),0-4,0-14,25,4.166083414988568,2.696069524904734,6.149960955054687
1,2006,590487,Total (LFS),0-4,0-14,22,3.72573824656597,2.334900323331354,5.64081247972017
1,2007,617281,Total (LFS),0-4,0-14,31,5.022024005274745,3.412221659040511,7.12836220509764
1,2008,638761,Total (LFS),0-4,0-14,37,5.7924638479807,4.07842910996539,7.984148396963938
1,2009,688434,Total (LFS),0-4,0-14,36,5.229259449707597,3.662509030250572,7.239499282318447
1,2010,709781,Total (LFS),0-4,0-14,33,4.649321410406872,3.2003789299417478,6.5293758594790905
1,2011,676099,Total (LFS),0-4,0-14,32,4.733034659125365,3.2373922031070252,6.681632731215468
1,2012,679795,Total (LFS),0-4,0-14,38,5.589920490736178,3.9557604344245174,7.672602610972367
1,2013,696723,Total (LFS),0-4,0-14,18,2.5835231505203646,1.531159554141248,4.08308040175622
1,2014,671272,Total (LFS),0-4,0-14,11,1.6386799985698794,0.818023151157331,2.932051167529996
1,2015,678889,Total (LFS),0-4,0-14,22,3.240588667661429,2.030859665163173,4.906290186926765
1,2016,649252,Total (LFS),0-4,0-14,0,0,0,0.5681737528900851
2,2000,590867,Total (LFS),0-4,0-14,36,6.092741682984496,4.267281370818682,8.434922662669633
2,2001,606042,Total (LFS),0-4,0-14,35,5.7751772979430465,4.022622590929302,8.031873594418053
2,2002,607706,Total (LFS),0-4,0-14,31,5.101150885461062,3.465984535143943,7.240676495418635
2,2003,575449,Total (LFS),0-4,0-14,22,3.8231016128275486,2.3959174266059393,5.788221786313859
2,2004,573128,Total (LFS),0-4,0-14,31,5.4089138900908695,3.6750945651131772,7.677521514085643
2,2005,602581,Total (LFS),0-4,0-14,35,5.808347757396931,4.045727031306955,8.078005673773827
2,2006,605642,Total (LFS),0-4,0-14,24,3.962737062489061,2.53900040860549,5.89623863499447
2,2007,614910,Total (LFS),0-4,0-14,22,3.577759346896294,2.242162734746485,5.4167706472695585
2,2008,636114,Total (LFS),0-4,0-14,39,6.130976523076051,4.359723648502703,8.381246736564965
2,2009,649279,Total (LFS),0-4,0-14,25,3.8504248558785976,2.491791948889356,5.683986652506913
2,2010,652399,Total (LFS),0-4,0-14,29,4.445132503268705,2.9769750011186304,6.383951759366061
2,2011,689777,Total (LFS),0-4,0-14,26,3.7693341471229105,2.46225420905544,5.522947863313074
2,2012,664635,Total (LFS),0-4,0-14,34,5.115589759792969,3.5426946195388855,7.148523940990636
2,2013,725879,Total (LFS),0-4,0-14,25,3.4441001874968142,2.2288400474224113,5.084171287160858
2,2014,695745,Total (LFS),0-4,0-14,16,2.2996931346973386,1.3144733276763072,3.7345575746230235
2,2015,693823,Total (LFS),0-4,0-14,16,2.3060636502393264,1.3181146277424536,3.7449028927494408
2,2016,674319,Total (LFS),0-4,0-14,0,0,0,0.5470525751334213
3,2000,621072,Total (LFS),0-4,0-14,24,3.864286266326609,2.475921125841523,5.749751654196809
3,2001,598333,Total (LFS),0-4,0-14,28,4.679668345219134,3.1096056302857322,6.763423702732123
3,2002,598165,Total (LFS),0-4,0-14,33,5.5168724348632905,3.7975611365977344,7.747740049847331
3,2003,587232,Total (LFS),0-4,0-14,18,3.0652280529671407,1.8166484081929333,4.844381823117267
3,2004,573288,Total (LFS),0-4,0-14,26,4.535242321485885,2.96257085716016,6.645180796235927
3,2005,574557,Total (LFS),0-4,0-14,41,7.135932553254072,5.120868402692036,9.680698271143667
3,2006,603322,Total (LFS),0-4,0-14,26,4.309473216623958,2.815090982194639,6.3143767479264845
3,2007,622037,Total (LFS),0-4,0-14,40,6.430485646352227,4.5940332233916905,8.756496311953162
3,2008,607309,Total (LFS),0-4,0-14,25,4.116520585072838,2.663995074637347,6.076796440943633
3,2009,634705,Total (LFS),0-4,0-14,33,5.199265800647545,3.5789353436210263,7.301702250520996
3,2010,658625,Total (LFS),0-4,0-14,19,2.884797874359461,1.736836768171074,4.504969227038998
3,2011,690664,Total (LFS),0-4,0-14,25,3.619705095386469,2.342482284848975,5.34339877241761
3,2012,701249,Total (LFS),0-4,0-14,34,4.848491762555098,3.357721491876961,6.7752812617491225
3,2013,660069,Total (LFS),0-4,0-14,24,3.6359835108147784,2.329643242552894,5.4100552508530475
3,2014,742561,Total (LFS),0-4,0-14,25,3.3667267739620046,2.1787680537800025,4.969952865492581
3,2015,757906,Total (LFS),0-4,0-14,21,2.770792156283233,1.715164015600376,4.2354501395876785
3,2016,737402,Total (LFS),0-4,0-14,0,0,0,0.5002535189915318
4,2000,603051,Total (LFS),0-4,0-14,21,3.4822925424217854,2.15559396868195,5.323054059265865
4,2001,643205,Total (LFS),0-4,0-14,28,4.3531999906717145,2.892669779597101,6.291586032954998
4,2002,631779,Total (LFS),0-4,0-14,30,4.748495913919266,3.203790252829062,6.77877317777382
4,2003,616212,Total (LFS),0-4,0-14,17,2.7587908057616537,1.6070973089792617,4.417091328293933
4,2004,605511,Total (LFS),0-4,0-14,20,3.3029953213071273,2.017555351662306,5.101208384765033
4,2005,569498,Total (LFS),0-4,0-14,23,4.03864456064815,2.560154212489716,6.0599497969848946
4,2006,580397,Total (LFS),0-4,0-14,18,3.1013254720475816,1.8380420264749,4.901431307799315
4,2007,611173,Total (LFS),0-4,0-14,28,4.581354215582167,3.044276605127768,6.621332412143238
4,2008,626288,Total (LFS),0-4,0-14,38,6.067496104028817,4.293721362248063,8.328112452938521
4,2009,624094,Total (LFS),0-4,0-14,26,4.166039090265248,2.7213950487580942,6.10421251976866
4,2010,637081,Total (LFS),0-4,0-14,13,2.040556852268393,1.0865105835841604,3.489414363033723
4,2011,672021,Total (LFS),0-4,0-14,20,2.9760974731444403,1.817877653437013,4.596341171284022
4,2012,711728,Total (LFS),0-4,0-14,27,3.7935840658228983,2.4999958034199548,5.519465644903964
4,2013,695352,Total (LFS),0-4,0-14,22,3.163865207837182,1.9827774813662162,4.7901299467212635
4,2014,728366,Total (LFS),0-4,0-14,16,2.1966978140110878,1.255602602763106,3.567299626501093
4,2015,702535,Total (LFS),0-4,0-14,13,1.8504416150085048,0.985282226651171,3.1643115173135685
4,2016,747652,Total (LFS),0-4,0-14,0,0,0,0.4933952499443505
5,2000,594352,Total (LFS),5-9,0-14,21,3.533259751796915,2.187143474586808,5.400962852811699
5,2001,572014,Total (LFS),5-9,0-14,22,3.846059711825235,2.41030514501911,5.8229806240975295
5,2002,618889,Total (LFS),5-9,0-14,16,2.585277812337915,1.4777096464214947,4.1983291991877305
5,2003,634038,Total (LFS),5-9,0-14,17,2.681227308142414,1.561913713311708,4.2929046549113155
5,2004,599137,Total (LFS),5-9,0-14,34,5.674828962324143,3.9299840244505466,7.930004672587923
5,2005,593335,Total (LFS),5-9,0-14,16,2.6966216387032618,1.541352263669179,4.379144597497358
5,2006,585598,Total (LFS),5-9,0-14,21,3.5860778213040345,2.219838692085046,5.4817008826777736
5,2007,540009,Total (LFS),5-9,0-14,26,4.81473456923866,3.145144472702555,7.054701696291177
5,2008,593365,Total (LFS),5-9,0-14,21,3.539136956173687,2.1907815567275093,5.409946784010414
5,2009,585361,Total (LFS),5-9,0-14,24,4.100033996115218,2.6269691446280947,6.100525589124182
5,2010,598800,Total (LFS),5-9,0-14,23,3.841015364061456,2.4348742546834807,5.763408967072985
5,2011,638578,Total (LFS),5-9,0-14,17,2.662164997854608,1.5508092151009414,4.262384049545491
5,2012,666240,Total (LFS),5-9,0-14,28,4.20268972142171,2.792656798729817,6.074056787834443
5,2013,668770,Total (LFS),5-9,0-14,16,2.392451814525173,1.367492927858834,3.885191859317995
5,2014,688518,Total (LFS),5-9,0-14,16,2.323831766199286,1.328270641238359,3.7737571998932418
5,2015,714879,Total (LFS),5-9,0-14,13,1.81848956256933,0.9682691044223993,3.1096725345350578
5,2016,691644,Total (LFS),5-9,0-14,0,0,0,0.5333494477092168
6,2000,634157,Total (LFS),5-9,0-14,24,3.784551775033627,2.4248337327643568,5.6311130514609475
6,2001,634336,Total (LFS),5-9,0-14,29,4.571709630227514,3.0617456895947783,6.565737627785053
6,2002,609605,Total (LFS),5-9,0-14,23,3.7729349332764657,2.391717101573098,5.66125489371528
6,2003,617063,Total (LFS),5-9,0-14,24,3.8893921690329836,2.492006951427401,5.787107247356137
6,2004,595523,Total (LFS),5-9,0-14,21,3.5263121659448924,2.1828428094424877,5.390342729826285
6,2005,605340,Total (LFS),5-9,0-14,18,2.9735355337496285,1.7623056101363739,4.699468111726961
6,2006,600491,Total (LFS),5-9,0-14,19,3.16407739666373,1.9049812843767406,4.941098796082806
6,2007,593267,Total (LFS),5-9,0-14,25,4.213954256683754,2.727049009607702,6.2206277607772495
6,2008,553785,Total (LFS),5-9,0-14,20,3.6115098819939147,2.206004060312928,5.577684101713588
6,2009,585716,Total (LFS),5-9,0-14,19,3.2438929447035765,1.9530354582027356,5.065740661273655
6,2010,590132,Total (LFS),5-9,0-14,19,3.219618661587577,1.9384207540629443,5.027833361279443
6,2011,630905,Total (LFS),5-9,0-14,15,2.3775370301392442,1.3306894275339893,3.921385766713822
6,2012,635623,Total (LFS),5-9,0-14,21,3.303845203839383,2.0451322535647996,5.050278346589628
6,2013,659008,Total (LFS),5-9,0-14,13,1.9726619403709817,1.0503594024661012,3.373311995933111
6,2014,672146,Total (LFS),5-9,0-14,18,2.6779896034492507,1.5871463611179009,4.2323781243253675
6,2015,680432,Total (LFS),5-9,0-14,8,1.1757236579114445,0.5075940250823745,2.3166443112894917
6,2016,687941,Total (LFS),5-9,0-14,0,0,0,0.536220323271027
7,2000,626780,Total (LFS),5-9,0-14,8,1.276364912728549,0.5510437756068322,2.5149477041694555
7,2001,631092,Total (LFS),5-9,0-14,21,3.327565553041395,2.0598155235807436,5.086537420050228
7,2002,623635,Total (LFS),5-9,0-14,23,3.688054711489894,2.3379103220705515,5.533892885234638
7,2003,599502,Total (LFS),5-9,0-14,15,2.5020767236806547,1.4003933486098987,4.126795051807306
7,2004,626285,Total (LFS),5-9,0-14,20,3.193434299081089,1.9506326329712427,4.932000271868973
7,2005,599250,Total (LFS),5-9,0-14,20,3.337505214851898,2.0386348911813013,5.15450611642463
7,2006,608502,Total (LFS),5-9,0-14,23,3.779773936650989,2.39605244305601,5.67151675669645
7,2007,593339,Total (LFS),5-9,0-14,16,2.6966034594051633,1.5413418726295631,4.379115075456181
7,2008,556481,Total (LFS),5-9,0-14,19,3.4143124383402124,2.055639125930038,5.33187181082294
7,2009,534418,Total (LFS),5-9,0-14,22,4.116627808195083,2.5798687305123726,6.232623973579715
7,2010,602981,Total (LFS),5-9,0-14,20,3.3168540965635738,2.0260206516298105,5.1226121391345
7,2011,592103,Total (LFS),5-9,0-14,13,2.195563947488866,1.1690453334983617,3.7544812166394825
7,2012,621420,Total (LFS),5-9,0-14,11,1.7701393582440217,0.8836471898614205,3.1672682748064034
7,2013,612473,Total (LFS),5-9,0-14,11,1.795997537850648,0.8965554999545841,3.213535700888358
7,2014,664189,Total (LFS),5-9,0-14,10,1.5055955458461372,0.7219915861497908,2.768843814338656
7,2015,676935,Total (LFS),5-9,0-14,8,1.1817973660691203,0.5102162211657697,2.328611937659201
7,2016,698144,Total (LFS),5-9,0-14,0,0,0,0.528383750933036
8,2000,660959,Total (LFS),5-9,0-14,14,2.118134407731796,1.1580037909008878,3.553869623053106
8,2001,620613,Total (LFS),5-9,0-14,14,2.255834151073213,1.2332855219437233,3.78490639445767
8,2002,613844,Total (LFS),5-9,0-14,24,3.9097881546451543,2.5050750442598546,5.817454857219945
8,2003,603189,Total (LFS),5-9,0-14,16,2.6525682663311168,1.516171954999432,4.307604680715489
8,2004,628063,Total (LFS),5-9,0-14,17,2.7067348339258963,1.5767727870623311,4.3337446746435635
8,2005,615417,Total (LFS),5-9,0-14,30,4.874743466625069,3.28896894649009,6.95899940931233
8,2006,576234,Total (LFS),5-9,0-14,25,4.338515255955046,2.80765832072202,6.4045043675885776
8,2007,607527,Total (LFS),5-9,0-14,26,4.279645184493858,2.7956063212986977,6.270671769834924
8,2008,609904,Total (LFS),5-9,0-14,15,2.4594034470998714,1.376509439646783,4.056411971635838
8,2009,599994,Total (LFS),5-9,0-14,21,3.5000350003500036,2.1665768297809955,5.3501752909101405
8,2010,544039,Total (LFS),5-9,0-14,11,2.021913870145339,1.0093321190644127,3.617762423889088
8,2011,558191,Total (LFS),5-9,0-14,20,3.58300295060293,2.188591286030041,5.533657458231072
8,2012,583023,Total (LFS),5-9,0-14,19,3.2588765794831422,1.9620565851375906,5.089139463037582
8,2013,662053,Total (LFS),5-9,0-14,15,2.265679635920387,1.2680836931157045,3.736894005689248
8,2014,640793,Total (LFS),5-9,0-14,16,2.4969061771898255,1.4271976213288105,4.054819200203647
8,2015,659101,Total (LFS),5-9,0-14,13,1.9723835952304731,1.0502111954015856,3.3728360172657723
8,2016,661221,Total (LFS),5-9,0-14,0,0,0,0.5578890346970128
9,2000,661921,Total (LFS),5-9,0-14,12,1.8129051654200428,0.9367545535981209,3.166780484102628
9,2001,665421,Total (LFS),5-9,0-14,25,3.757019991854781,2.4313452457661127,5.54610264742627
9,2002,630893,Total (LFS),5-9,0-14,19,3.01160418644683,1.8131824515990405,4.702992991138847
9,2003,626577,Total (LFS),5-9,0-14,13,2.074764953070413,1.104724956550241,3.5479112572212
9,2004,610666,Total (LFS),5-9,0-14,16,2.6200901966050183,1.4976079319368565,4.254862330236324
9,2005,617828,Total (LFS),5-9,0-14,19,3.075289562790939,1.8515252083697624,4.8024455951471285
9,2006,617916,Total (LFS),5-9,0-14,17,2.7511830086937383,1.6026654868311045,4.404910508209304
9,2007,605402,Total (LFS),5-9,0-14,30,4.955385016897863,3.3433774618222136,7.074120236604382
9,2008,598397,Total (LFS),5-9,0-14,29,4.846280980686735,3.245630432229428,6.9600678878046836
9,2009,604148,Total (LFS),5-9,0-14,20,3.31044710898654,2.022107097168897,5.112717066459642
9,2010,594154,Total (LFS),5-9,0-14,24,4.039356799752253,2.5880921200036457,6.010242730630981
9,2011,563259,Total (LFS),5-9,0-14,16,2.840611512643384,1.623654917833807,4.612975131788565
9,2012,567167,Total (LFS),5-9,0-14,11,1.939464037928864,0.9681734598869186,3.4702368990618204
9,2013,574386,Total (LFS),5-9,0-14,17,2.959682164955274,1.724123928787834,4.738737855015025
9,2014,597204,Total (LFS),5-9,0-14,19,3.1814924213501583,1.9154662668647118,4.968294514367888
9,2015,611794,Total (LFS),5-9,0-14,7,1.144175980803996,0.46001808640161024,2.3574398182562066
9,2016,669771,Total (LFS),5-9,0-14,0,0,0,0.550767270322832
10,2000,648595,Total (LFS),10-14,0-14,20,3.08358837178825,1.8835358868637513,4.762352146204426
10,2001,669360,Total (LFS),10-14,0-14,18,2.6891358910003587,1.5937523575354855,4.249994064110193
10,2002,655370,Total (LFS),10-14,0-14,18,2.746540122373621,1.627773743137392,4.340717498135096
10,2003,643350,Total (LFS),10-14,0-14,16,2.4869822025336132,1.4215252123481035,4.038703287100483
10,2004,650669,Total (LFS),10-14,0-14,25,3.8421993363753306,2.4864688263662975,5.671844163089123
10,2005,603803,Total (LFS),10-14,0-14,23,3.8091894210528934,2.414699336877207,5.715654426167647
10,2006,578807,Total (LFS),10-14,0-14,17,2.9370757437280473,1.7109548553502787,4.702542784711762
10,2007,632293,Total (LFS),10-14,0-14,28,4.428326740925488,2.9425909595484265,6.400165104353234
10,2008,635266,Total (LFS),10-14,0-14,21,3.305701863471365,2.0462815551400806,5.053116448061661
10,2009,597912,Total (LFS),10-14,0-14,15,2.508730381728415,1.4041173505103286,4.13776924890048
10,2010,600032,Total (LFS),10-14,0-14,18,2.9998400085328782,1.777895308983442,4.741040522426801
10,2011,598477,Total (LFS),10-14,0-14,23,3.8430883726525833,2.4361883643055093,5.766519497797415
10,2012,562891,Total (LFS),10-14,0-14,15,2.664814324620575,1.491476348490794,4.395205976198916
10,2013,586271,Total (LFS),10-14,0-14,15,2.5585437451281066,1.4319975118645327,4.219928816449363
10,2014,570317,Total (LFS),10-14,0-14,18,3.156139480324101,1.8705282817099134,4.988061072618909
10,2015,611269,Total (LFS),10-14,0-14,12,1.9631291624473022,1.0143774849897864,3.42919157493296
