Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2015,All cases (adj),10.776449570922333,10.498822748748522,11.060029400824547,Total (LFS)
2016,All cases (adj),0,NaN,0.008163925584037102,Total (LFS)
2000,0,2.6372177352892696,1.5073978001716704,4.28267638001664,Total
2001,0,3.408059522656421,2.0518744622201774,5.322107108420347,Total
2002,0,2.325281895712896,1.2381146777166097,3.976302858694207,Total
2003,0,2.9519116232388374,1.7195973018845851,4.726296464982793,Total
2004,0,4.01951474408252,2.5753789405373864,5.980719324613198,Total
2005,0,3.7905256635067963,2.4028681155887317,5.687649626028886,Total
2006,0,3.371841908783648,2.0872232856313273,5.154218533079116,Total
2007,0,4.046043980498068,2.6430102591485474,5.9283918816322085,Total
2008,0,3.8931480594154286,2.5431335672610715,5.7043639319485235,Total
2009,0,4.22446387027275,2.807125562511132,6.105526495425236,Total
2010,0,2.827166390645948,1.7021388502311185,4.414970526282321,Total
2011,0,3.3868255431437397,2.1469568690777945,5.081901230571112,Total
2012,0,3.015330803327202,1.8665372923300305,4.609253437827955,Total
2013,0,1.6259417528538973,0.8116642647915381,2.909258927277827,Total
2014,0,2.8606573790657093,1.7223026130398902,4.467270853301816,Total
2015,0,2.5641915179561283,1.4937360526243428,4.105519017387723,Total
2000,1,3.53356890459364,2.2144688198248654,5.34986578656043,Total
2001,1,4.544628249409198,2.968702056898106,6.658933355320889,Total
2002,1,5.722583460303154,3.914242850577009,8.078580384310905,Total
2003,1,4.64559472546322,3.034656711204163,6.806872636218669,Total
2004,1,6.259857101373169,4.384326955347261,8.66628084313949,Total
2005,1,4.188944871809909,2.710864254364348,6.183708975154591,Total
2006,1,3.6301893143727444,2.275020316227377,5.496150248111104,Total
2007,1,4.955884633400425,3.367283164722711,7.034482646130456,Total
2008,1,5.754563213099252,4.051743565326118,7.931907364274867,Total
2009,1,5.395109333389282,3.7786682498288138,7.469105429313755,Total
2010,1,4.988730005396898,3.434012189542992,7.006031717615097,Total
2011,1,4.777131869739557,3.267554662523186,6.743884835206935,Total
2012,1,5.555344387494043,3.9312923259051775,7.625144207860463,Total
2013,1,2.5667314528698193,1.5212077299113376,4.0565422801313575,Total
2014,1,1.6112423704011845,0.8043263860327022,2.882957671681823,Total
2015,1,3.278722728851121,2.0547580782854085,4.9640256138477215,Total
2000,2,5.7007125890736345,3.992709013034873,7.892189151106285,Total
2001,2,5.967136422377784,4.156329154494236,8.298842267969274,Total
2002,2,5.396785604857803,3.6668539837229206,7.66030638130706,Total
2003,2,3.9168767536925464,2.454685808128162,5.93019847653528,Total
2004,2,5.535180536162584,3.7608866250650568,7.856746939268136,Total
2005,2,6.076874194814169,4.23276553379606,8.451460944638471,Total
2006,2,4.025697368200346,2.5793402644692724,5.989918579222907,Total
2007,2,3.6248778663309813,2.2716916600176984,5.488108651945034,Total
2008,2,6.209894431794659,4.415841996311718,8.489130115732188,Total
2009,2,3.882071970508676,2.512272292849429,5.730704036660792,Total
2010,2,4.342578533286614,2.9082929978987813,6.236667151625859,Total
2011,2,3.9281392253407286,2.5659909585711755,5.755634097324941,Total
2012,2,5.041623046741777,3.49147052052864,7.045162873369718,Total
2013,2,3.6296217788921528,2.348899839545938,5.358037753515342,Total
2014,2,2.2630066306094276,1.2935038207531178,3.6749809903993294,Total
2015,2,2.3224353056615166,1.3274724433821514,3.77148943546837,Total
2000,3,3.7019898195279963,2.371934730014879,5.508267406101065,Total
2001,3,4.695772630689222,3.1203068110266017,6.786698879096968,Total
2002,3,5.598534201954397,3.853773339564644,7.862423532364497,Total
2003,3,3.1192542902743385,1.848667780425211,4.929766570176808,Total
2004,3,4.61049312770534,3.0117271821546145,6.755440662620963,Total
2005,3,7.301830978641254,5.239919977000173,9.90575821780737,Total
2006,3,4.51366947440055,2.9484787572125555,6.613571576924216,Total
2007,3,6.701615591978836,4.787732431595599,9.12569834419566,Total
2008,3,4.117876691006064,2.664872674895171,6.078798320817245,Total
2009,3,5.2329370572816325,3.6021130873741654,7.348989213674979,Total
2010,3,2.9430716994225383,1.7719214175640559,4.5959710233812485,Total
2011,3,3.73421918970431,2.4165897688114013,5.512444165585789,Total
2012,3,5.107068182364392,3.5367931794461946,7.136615890673157,Total
2013,3,3.539233136660114,2.267653452254486,5.266098363215748,Total
2014,3,3.601750162438932,2.330862798938683,5.316893749455107,Total
2015,3,2.9470085757949556,1.8242447566509332,4.504815655483947,Total
2000,4,3.273577552611068,2.026396100401588,5.004011026491565,Total
2001,4,4.579608312643317,3.0431164653041565,6.618809096290876,Total
2002,4,5.004963255228101,3.376827691030425,7.144896254587077,Total
2003,4,2.8672190842102245,1.6702607768826732,4.590695505702664,Total
2004,4,3.4493166041478034,2.1069321925415334,5.327189738744379,Total
2005,4,4.0568309095238515,2.5716827976337533,6.087238249712588,Total
2006,4,3.202374026611728,1.8979298040324164,5.061131588667152,Total
2007,4,4.8517613626518346,3.223960190580224,7.012146028186687,Total
2008,4,6.367740357062662,4.506192065325668,8.74022114814709,Total
2009,4,4.281801848091551,2.7970151255632363,6.273831781694807,Total
2010,4,2.051890738396558,1.0925454006085915,3.508795653489142,Total
2011,4,3.084463403612832,1.8840703790348943,4.763703561888154,Total
2012,4,4.013324236465063,2.644805960494735,5.839176056383057,Total
2013,4,3.2863877818077527,2.059561726164668,4.975630596139577,Total
2014,4,2.342811960055056,1.3391194619793134,3.8045798456029742,Total
2015,4,1.8592916670838155,0.9899945066518023,3.1794453758928354,Total
2000,5,3.2568238213399505,2.0160252766867535,4.978401168570625,Total
2001,5,3.624334440402763,2.2713510978816775,5.487285898559037,Total
2002,5,2.602387690706223,1.487489420259836,4.226114569721374,Total
2003,5,2.819181044489994,1.642276848488469,4.51378195059246,Total
2004,5,5.699648633425421,3.947172368199359,7.964687675214425,Total
2005,5,2.752797099928255,1.5734613935074462,4.470370027125538,Total
2006,5,3.694184825344219,2.2867586314762467,5.646953922070888,Total
2007,5,4.614846671719332,3.014571061644827,6.76181961329804,Total
2008,5,3.6368107594180414,2.251243180386885,5.559251567715406,Total
2009,5,4.017059111024819,2.5738055701021105,5.977065537273823,Total
2010,5,3.7813647767515115,2.3970608992158904,5.67390379794245,Total
2011,5,2.673271219090301,1.5572789982477948,4.280166185620412,Total
2012,5,4.297952486135266,2.855958214056075,6.211738006528006,Total
2013,5,2.366741366941061,1.3527971855956458,3.8434397032048566,Total
2014,5,2.3740422223409245,1.356970255275051,3.855295834974531,Total
2015,5,1.8906038443247708,1.0066669222865552,3.232990152594836,Total
2000,6,3.625377643504532,2.322847863245689,5.39427456098991,Total
2001,6,4.762835430897006,3.189745637907561,6.840226158902411,Total
2002,6,3.7690212671121763,2.3892361729431277,5.655382472876654,Total
2003,6,3.880838843315983,2.4865266742482834,5.774380576685085,Total
2004,6,3.465346534653465,2.1451041227848493,5.297150286294289,Total
2005,6,3.00889630340373,1.7832626432818912,4.755353372726693,Total
2006,6,3.25943004576926,1.9623898079967088,5.090003769202435,Total
2007,6,4.376068854817789,2.8319610298516733,6.459940887629618,Total
2008,6,3.543975418986494,2.1647522558119334,5.473382600972219,Total
2009,6,3.2842822892484698,1.97735248203009,5.128813625897016,Total
2010,6,3.1766572537296462,1.9125551801025449,4.960743801185663,Total
2011,6,2.465969619254291,1.3801844763568283,4.0672418740523835,Total
2012,6,3.2893757861216537,2.036175455942913,5.02816030458733,Total
2013,6,1.9867529426867625,1.057862267741521,3.397408039037995,Total
2014,6,2.6484414657652158,1.5696342620632133,4.18567932781496,Total
2015,6,1.1804215285278372,0.5096222321695119,2.325900989221765,Total
2000,7,1.197246333433104,0.5168859887381776,2.3590525621360836,Total
2001,7,3.3672571125289226,2.0843852244880066,5.147210184981615,Total
2002,7,3.761248996318882,2.3843092199733253,5.643720250537292,Total
2003,7,2.442125691325081,1.3668392108976302,4.027914941004078,Total
2004,7,3.216064887325167,1.964455984196892,4.966951379961118,Total
2005,7,3.291460470382616,2.0105095650506057,5.083393743044666,Total
2006,7,3.831449537310822,2.428810341089745,5.749055530169839,Total
2007,7,2.7298676526038674,1.5603552331804365,4.433134041204102,Total
2008,7,3.3097816240924227,1.992704747335928,5.168633995914266,Total
2009,7,3.8869120603814125,2.435907094361789,5.884831570758626,Total
2010,7,3.450328212471211,2.1075501091863176,5.328752085753526,Total
2011,7,2.1750806034677477,1.1581388154852026,3.7194540745381515,Total
2012,7,1.8004599356744768,0.8987831128703162,3.2215201632365646,Total
2013,7,1.715894644068854,0.8565684239877142,3.070209497211976,Total
2014,7,1.5202558894713158,0.7290217907599507,2.795804708235192,Total
2015,7,1.1706226395491932,0.5053917674131585,2.3065932715820106,Total
2000,8,2.030162412993039,1.1099086827582076,3.4062675640712845,Total
2001,8,2.219418005187097,1.2133764761191572,3.7238062894875017,Total
2002,8,3.8281236292526066,2.4527510419173892,5.695944516731804,Total
2003,8,2.602739057515653,1.4876902567506958,4.226685167406704,Total
2004,8,2.7512854167307284,1.6027251432865055,4.405074473396948,Total
2005,8,4.811570865617638,3.2463466578701934,6.8688165933128245,Total
2006,8,4.100491566929043,2.6536219392420852,6.053134448152624,Total
2007,8,4.305612365718715,2.8125689462007673,6.308719706808502,Total
2008,8,2.54600633446376,1.4249804182890353,4.199250264188187,Total
2009,8,3.637371392940035,2.2515902213732266,5.560108555607336,Total
2010,8,1.937568035059413,0.9672269820857462,3.4668444261983775,Total
2011,8,3.4495188783544415,2.1070557468818847,5.32750213485111,Total
2012,8,3.1654110536153994,1.9057842329820396,4.943181466615843,Total
2013,8,2.444533534111021,1.3681868622266302,4.03188631150623,Total
2014,8,2.4834038775247294,1.419479890426249,4.032892311468663,Total
2015,8,1.9661757277118859,1.046905767398962,3.3622203747468737,Total
2000,9,1.7133066818960596,0.8852905637810135,2.9928019771811756,Total
2001,9,3.8434929664078714,2.4873059955153085,5.673753816208834,Total
2002,9,3.002324431178033,1.8075954327324049,4.688501503783025,Total
2003,9,2.062150029345981,1.0980080409580757,3.5263393534618546,Total
2004,9,2.590812009061365,1.4808729180220972,4.207316387948344,Total
2005,9,3.063814416698111,1.8446164208143836,4.784525733071716,Total
2006,9,2.7167833285390097,1.582626405473086,4.349833287932145,Total
2007,9,4.895265788455984,3.3028152708503105,6.988296299800382,Total
2008,9,4.777020226562538,3.1992454181865995,6.860597891618733,Total
2009,9,3.375726836184416,2.061981650461031,5.213536310613217,Total
2010,9,4.133548048190281,2.648442230167402,6.150391842055958,Total
2011,9,2.8146219610878513,1.6087996435354333,4.570769728311746,Total
2012,9,1.888421742944599,0.9426933301350633,3.378908133999309,Total
2013,9,2.819840397033528,1.6426609456429797,4.514837637887145,Total
2014,9,3.080899557809837,1.8549027918409242,4.8112062972915,Total
2015,9,1.0809992757304854,0.4346177743336592,2.2272716600137406,Total
2000,10,2.9057097195990123,1.774882984948997,4.487632994722446,Total
2001,10,2.7233321481795283,1.6140192267854128,4.304038893347957,Total
2002,10,2.756879947067905,1.6339017785550773,4.357058878919056,Total
2003,10,2.5178214549860733,1.439152509739488,4.088784300999411,Total
2004,10,3.9530379096335535,2.5581977068947817,5.8354637621109795,Total
2005,10,3.708397424114902,2.3508058568566144,5.564416942351032,Total
2006,10,2.7275892443133776,1.5889212496221146,4.367134605872436,Total
2007,10,4.447162154650064,2.9551069551801548,6.427387521464418,Total
2008,10,3.4132410999738316,2.1128500374767674,5.217501594461999,Total
2009,10,2.4579123475684694,1.3756748825582141,4.0539526297181006,Total
2010,10,3.0196427762595683,1.7896316841721276,4.772337432922492,Total
2011,10,3.9438126723274665,2.5000389300684307,5.917655402480321,Total
2012,10,2.6252553060785164,1.4693354661111595,4.329959391060803,Total
2013,10,2.5635416524247687,1.434794802638622,4.2281721044772835,Total
2014,10,2.970566635585738,1.7605460529255175,4.694775972658902,Total
2015,10,1.9352560101794467,0.9999750204769791,3.3805027872810065,Total
2000,11,4.400117336462306,2.968740689560123,6.281441096334359,Total
2001,11,3.843894818737296,2.4875660531548114,5.674347029519631,Total
2002,11,2.2610656553171222,1.2655012831974657,3.729283946356344,Total
2003,11,2.4421999948103252,1.3959283113013605,3.9659797873700025,Total
2004,11,4.555658363324751,3.0509959042350236,6.54268533102931,Total
2005,11,3.6182523526506056,2.293661614282451,5.429155074336685,Total
2006,11,3.0502733205435906,1.8364637963648343,4.763379634061215,Total
2007,11,5.262167566550474,3.6222340249729452,7.390039716475892,Total
2008,11,5.21933050224194,3.5927469609625446,7.32988055153603,Total
2009,11,3.557936138280805,2.229739635445714,5.3867580711983845,Total
2010,11,3.9072929623141595,2.503476327451739,5.813742208817654,Total
2011,11,4.00653733341569,2.5670640686530963,5.961409966220417,Total
2012,11,3.4116942644301873,2.083951490041085,5.269085086405354,Total
2013,11,3.656765538641564,2.263595503236444,5.589754567464432,Total
2014,11,2.2095954230780346,1.1765165032988927,3.7784754672289593,Total
2015,11,1.1479361747486838,0.46152987938796425,2.365187254907817,Total
2000,12,3.0483379300333864,1.8869692239913176,4.659708337196021,Total
2001,12,3.8896763322530403,2.5171934348221443,5.741929574691955,Total
2002,12,3.073513840801204,1.8773821016079006,4.746792850188422,Total
2003,12,4.207097373268704,2.795585651372495,6.080427071960627,Total
2004,12,3.8162287416977945,2.4696620268188263,5.633506442180375,Total
2005,12,4.542869809183803,3.04243120881817,6.524318834046865,Total
2006,12,7.205197767015231,5.275110334911982,9.610724108370245,Total
2007,12,6.22932542794667,4.429659334074966,8.515692927133323,Total
2008,12,4.603883455071654,3.083293005041718,6.611944607119921,Total
2009,12,4.405605188544167,2.9274926530015595,6.367326134878892,Total
2010,12,4.180030707148656,2.7305348374364096,6.12471348029759,Total
2011,12,4.859668959350489,3.2787982397340985,6.937479612847613,Total
2012,12,6.147496722719653,4.328405018202576,8.473514447768844,Total
2013,12,4.243199847923717,2.7459752142526237,6.263800022663841,Total
2014,12,2.4229376041646833,1.324642534721665,4.065277594548317,Total
2015,12,3.2087548342424803,1.9318800203277549,5.010868149154004,Total
2000,13,5.652238583965492,3.9998604261782162,7.758139062808212,Total
2001,13,6.306033335845493,4.525318395999712,8.554846273631847,Total
2002,13,5.137778082238701,3.536610027499542,7.2153506329850465,Total
2003,13,6.139159395599758,4.385905478706935,8.359792644363727,Total
2004,13,5.861127350274496,4.167834507227443,8.012354034008494,Total
2005,13,6.246905115605835,4.482886964302027,8.474632166340596,Total
2006,13,5.154961259685079,3.548438136204986,7.239482202757012,Total
2007,13,5.449693104425462,3.795910924380021,7.579203872876263,Total
2008,13,7.319444422344673,5.3587532454530935,9.763113136427442,Total
2009,13,5.841250595965432,4.112779482860828,8.05139450258291,Total
2010,13,5.6295652255500945,3.9428782743060733,7.793691210409095,Total
2011,13,6.398689548380491,4.571317624836668,8.713199051071793,Total
2012,13,5.320195138308952,3.662177535351864,7.471532001645922,Total
2013,13,3.969809598007156,2.543531915563219,5.906762007227237,Total
2014,13,3.8804418979747464,2.459867295137078,5.822568126190795,Total
2015,13,2.9229258831964433,1.7027120401519387,4.67988748728211,Total
2000,14,5.899258811072455,4.194949703439189,8.064480996193142,Total
2001,14,8.204144355075368,6.127247414978438,10.758643814055102,Total
2002,14,8.633368586255061,6.521553849500375,11.21114722168717,Total
2003,14,5.9117837407278335,4.183530026446855,8.114385068585966,Total
2004,14,6.002400960384154,4.268293854378133,8.20547970970432,Total
2005,14,7.352444687858713,5.439379055860443,9.720321795934893,Total
2006,14,4.7167586434602145,3.204808656186615,6.695062391038883,Total
2007,14,7.938657526314316,5.910851964006869,10.437868544642306,Total
2008,14,8.218838197438204,6.15647379777897,10.750442720777261,Total
2009,14,5.702979331452406,3.994296611529717,7.895327278021222,Total
2010,14,6.432179724514449,4.615843222436585,8.72597809383686,Total
2011,14,8.090312783938861,6.042232553001076,10.60936885305392,Total
2012,14,7.482527502268639,5.4978797648680615,9.950175336418729,Total
2013,14,5.455309781370438,3.7779606101879954,7.623248620160114,Total
2014,14,4.7678547941602,3.193107184260807,6.847434801819444,Total
2015,14,4.524939960750336,2.981963946579694,6.583550074353493,Total
2000,15,4.672897196261682,3.1750069308323567,6.6328045678698775,Total
2001,15,9.269529139883588,7.038742105757298,11.983015944340405,Total
2002,15,7.905513304978893,5.867624351741879,10.422433738254274,Total
2003,15,6.764079662410933,4.914790637613563,9.080461230341163,Total
2004,15,4.96852748372031,3.3984691208011384,7.014078334956458,Total
2005,15,8.736248072661061,6.6167489758549625,11.318822691402428,Total
2006,15,6.2617034218718315,4.512885054876032,8.464003968502238,Total
2007,15,9.825142691303087,7.582837702131041,12.522950900870592,Total
2008,15,9.113855222547986,6.937888864829701,11.756209217440485,Total
2009,15,6.294319300071694,4.516912201684618,8.538954861399844,Total
2010,15,8.795240518416605,6.64383016745984,11.421351389896932,Total
2011,15,7.6106101224221,5.630371265571329,10.061630191588304,Total
2012,15,8.056806684670532,6.0172085954446874,10.565430061630371,Total
2013,15,7.4509033031281104,5.474643492835363,9.90812185566284,Total
2014,15,8.928870386285256,6.74477273356254,11.594880888483983,Total
2015,15,5.059770580208789,3.437868625365095,7.18194045519145,Total
2000,16,7.677843936070197,5.68011121103559,10.150516858808883,Total
2001,16,10.957094242126374,8.525273340888674,13.86690403253547,Total
2002,16,10.857624607209463,8.431370352397368,13.764626362955942,Total
2003,16,9.772751991198218,7.492712913773209,12.528226998290753,Total
2004,16,9.653781677428844,7.4182309055074445,12.3513803815068,Total
2005,16,7.104466547229258,5.2013624218465235,9.476362777319144,Total
2006,16,13.419686985801057,10.762981377301639,16.53342969722659,Total
2007,16,7.836782010297235,5.870287496393227,10.250703821274682,Total
2008,16,9.894859620427187,7.652683713606975,12.588687543197329,Total
2009,16,11.16516956527724,8.75171062977661,14.038524451412632,Total
2010,16,5.772216196838649,4.0847637257523095,7.92281771026203,Total
2011,16,8.234608661876093,6.1682869578337485,10.771070876551446,Total
2012,16,8.664478885748016,6.545054235403091,11.251546533293254,Total
2013,16,7.254597794293565,5.330405588674454,9.647077144257981,Total
2014,16,6.4579539941657895,4.6343392833333255,8.760943800952456,Total
2015,16,7.441006277359551,5.467371530562073,9.894960909488386,Total
2000,17,8.69840265696663,6.552827292651981,11.32216668922337,Total
2001,17,10.531685563362899,8.11068119373948,13.448727345996309,Total
2002,17,8.87625079846631,6.705024462413073,11.526549976871813,Total
2003,17,11.264155553228687,8.797398940613947,14.208199528983881,Total
2004,17,11.160749373583291,8.716637856397156,14.077766703727788,Total
2005,17,14.483076144391696,11.717673478793753,17.70480954351715,Total
2006,17,12.132623395690922,9.605512197831619,15.120868751841119,Total
2007,17,9.683281058745742,7.457306345156837,12.365333734112985,Total
2008,17,10.842538502000743,8.513724784627772,13.611814191402544,Total
2009,17,16.17498664450644,13.281347116056244,19.511848040813675,Total
2010,17,8.935224168115486,6.801906629738461,11.525788171970621,Total
2011,17,9.295408068414202,7.126736065309624,11.916293632307578,Total
2012,17,11.441523763581012,8.984057047335593,14.363785335661316,Total
2013,17,10.472042725934323,8.131950934263665,13.275809451331106,Total
2014,17,9.337654166966441,7.142565552778801,11.994607415143848,Total
2015,17,8.57891116459499,6.462809947705839,11.166632087305139,Total
2000,18,13.98938736131211,11.20492579768768,17.255857627033894,Total
2001,18,14.652730292077758,11.736236292256232,18.074088681443545,Total
2002,18,15.687761258419917,12.707136986020645,19.15744155480887,Total
2003,18,15.517654859142015,12.611984152272926,18.892187997666937,Total
2004,18,14.13578521145564,11.36684060977159,17.375279934081128,Total
2005,18,16.80680115219959,13.786944742783376,20.29152179208724,Total
2006,18,14.2014122851281,11.476186709153598,17.37893201282845,Total
2007,18,11.527674761824589,9.082496572254037,14.428603947520504,Total
2008,18,14.348531816374665,11.622356838270292,17.522013188591796,Total
2009,18,12.69647066970997,10.182940743709738,15.642406968408045,Total
2010,18,13.03777144933141,10.470401056843333,16.044099660396295,Total
2011,18,10.86804407959577,8.518811679499763,13.66493376194838,Total
2012,18,13.116806653798283,10.520062494294459,16.160272657040856,Total
2013,18,12.765106657849003,10.167336198736272,15.824270281488452,Total
2014,18,11.132240340494059,8.725899374078217,13.99712089505981,Total
2015,18,9.076730138223473,6.92650132142173,11.683550908602369,Total
2000,19,12.995245641838352,10.33550451155378,16.130526329012383,Total
2001,19,14.282580862361828,11.3923458526592,17.68280696409932,Total
2002,19,16.766212595575713,13.656355522232484,20.372468170064263,Total
2003,19,16.065315145254544,13.07138160921814,19.539727723822192,Total
2004,19,17.71727542197928,14.627427923203829,21.26690591956366,Total
2005,19,17.235542150133885,14.191692088972083,20.738835876417376,Total
2006,19,16.730904128849453,13.737813216444145,20.182449984180113,Total
2007,19,14.974410067547934,12.196902935138409,18.195265670620877,Total
2008,19,15.195870298777626,12.390416202043623,18.44674973884388,Total
2009,19,14.937854133318885,12.18003485408316,18.133535718244058,Total
2010,19,14.890301025161774,12.178791009701124,18.025617255282985,Total
2011,19,14.89721636917594,12.172105293257502,18.050471052130998,Total
2012,19,13.73890177423882,11.089066895635955,16.83108286557041,Total
2013,19,12.564058220367668,10.035723461352882,15.535652557805598,Total
2014,19,9.395690408970156,7.203621960785506,12.044851067054353,Total
2015,19,9.44754363865395,7.2597519338202945,12.08751233982522,Total
2000,20,16.310201569472227,13.35345664976543,19.72671896106282,Total
2001,20,13.877143202322218,11.084569107323293,17.1593024725639,Total
2002,20,21.13984004187702,17.61005130806431,25.169672813601814,Total
2003,20,15.930811009668526,12.918814546346725,19.43423842222789,Total
2004,20,18.227119417746557,15.048356430693888,21.878896422244786,Total
2005,20,18.167256850191286,15.062461394721309,21.72358599991102,Total
2006,20,19.8346306594939,16.58369227865851,23.536584726118058,Total
2007,20,16.626259817050684,13.664763528091687,20.039139277698496,Total
2008,20,15.966555193744627,13.110203206740495,19.26041767591924,Total
2009,20,14.66412488501993,11.91827710666379,17.853045879922362,Total
2010,20,18.846724338602264,15.757705916368137,22.36429464306557,Total
2011,20,15.002542097410949,12.306876069109444,18.113167827089985,Total
2012,20,17.300964457862932,14.367405317846499,20.657375649554368,Total
2013,20,14.16017050597063,11.482944377424356,17.2742071665665,Total
2014,20,9.875266668506178,7.6685309745904195,12.519253597723681,Total
2015,20,11.131543677951084,8.755665243528712,13.953486391885663,Total
2000,21,18.4,15.191087081767735,22.08641337903049,Total
2001,21,19.94768193340069,16.578473935958755,23.80040962696847,Total
2002,21,16.673961524833782,13.623834836415686,20.20329519084557,Total
2003,21,17.954770450730628,14.742734815564944,21.658797026662864,Total
2004,21,19.214664632047178,15.930866537491607,22.976028964401994,Total
2005,21,21.737689299044312,18.297869100926224,25.636278853429015,Total
2006,21,23.053392247557966,19.577727367376514,26.968226224283708,Total
2007,21,21.42457147163165,18.0793612383983,25.209304500516524,Total
2008,21,21.682502814270055,18.308135469733035,25.498597345575394,Total
2009,21,20.309016187736546,17.084317411536144,23.965435563230095,Total
2010,21,18.643504400734177,15.565278094863139,22.152327057163383,Total
2011,21,20.452074905023927,17.269194483944585,24.051615597694486,Total
2012,21,20.444454201678365,17.29358703941746,24.003330719227343,Total
2013,21,16.418494802914914,13.578542534311103,19.677135099325792,Total
2014,21,12.637087266267736,10.135313517676387,15.569244954492738,Total
2015,21,10.831070922137426,8.533651977233884,13.556700366023442,Total
2000,22,17.34590771303469,14.1582920755841,21.036957805158494,Total
2001,22,18.025235329461246,14.786449914677831,21.76258600211944,Total
2002,22,23.28628026226371,19.67414287096973,27.369547988389858,Total
2003,22,20.119680662943477,16.785367615331204,23.922366077098307,Total
2004,22,21.827069070724484,18.325263865972012,25.803165193961934,Total
2005,22,24.182604851615846,20.547843258552582,28.275075291120014,Total
2006,22,25.111919940807617,21.458129802374422,29.20950797233481,Total
2007,22,19.387248073481977,16.254943983413476,22.94715445240259,Total
2008,22,20.355425948115318,17.134338170367826,24.006110705113045,Total
2009,22,26.44138605745713,22.719599475073302,30.598945414958937,Total
2010,22,26.21789893140918,22.585315497663768,30.268469996985626,Total
2011,22,27.564321413979727,23.849384137429986,31.693895812142383,Total
2012,22,21.372117521827136,18.13998490987568,25.014051475166347,Total
2013,22,15.834669806532816,13.095703355620925,18.977436164309264,Total
2014,22,12.953778438022372,10.46797156219677,15.852144157478296,Total
2015,22,13.200485890225321,10.66733629629336,16.154051598288472,Total
2000,23,21.451315568962627,17.89631871845216,25.50568433331222,Total
2001,23,21.66779628111279,18.036082787016003,25.816201088751743,Total
2002,23,21.646536472786398,18.124192633694147,25.653592564821384,Total
2003,23,27.589242675288567,23.684971624374914,31.953374808804966,Total
2004,23,25.575992668215434,21.854679840998774,29.749304852179662,Total
2005,23,31.225843977927614,27.087648401386332,35.81745665645991,Total
2006,23,29.158205580225975,25.21880994131459,33.538478087020835,Total
2007,23,26.98131326465187,23.242956051425637,31.14982909831858,Total
2008,23,28.09193929893756,24.333361801909312,32.266679822887326,Total
2009,23,30.244236475690478,26.30979285666995,34.60108904718381,Total
2010,23,28.747797432435526,24.910702390099825,33.00862865266734,Total
2011,23,30.53518735322913,26.658704005268554,34.816881156297974,Total
2012,23,29.650591908560333,25.819437417853603,33.890022168742945,Total
2013,23,22.027689621694826,18.766225930013572,25.69304642626265,Total
2014,23,17.43080568909563,14.57385936141389,20.684107609007945,Total
2015,23,11.338143945836068,9.043747653380256,14.037393707584908,Total
2000,24,19.280205655526995,15.985206559437454,23.054399962942203,Total
2001,24,25.62779497764018,21.67807947828621,30.08896360766385,Total
2002,24,28.13316137079676,24.016178774603098,32.75340099426882,Total
2003,24,27.069805065556697,23.153460470099795,31.458851328932028,Total
2004,24,25.65156474544947,21.950844078685602,29.797569582118822,Total
2005,24,26.978562306549776,23.22109378731592,31.170876537545514,Total
2006,24,32.791921961134186,28.61989892487641,37.40108447536881,Total
2007,24,30.934406109761028,26.9373699207283,35.35739563209284,Total
2008,24,28.37942151387186,24.582380165261505,32.59688474342873,Total
2009,24,28.198752587200826,24.452858912156337,32.356148255438406,Total
2010,24,27.225852335867003,23.547525709680677,31.31583833081212,Total
2011,24,34.42403159763742,30.26451561050654,38.99553057436317,Total
2012,24,29.434584687505087,25.648297262818744,33.622397070455236,Total
2013,24,22.684289353142457,19.364689993404244,26.409674179907345,Total
2014,24,18.273061342398204,15.331160714471714,21.614985884159225,Total
2015,24,13.353337156053383,10.88805062142602,16.21004021835701,Total
2000,25,23.80586699431731,20.205675343231267,27.86252610667416,Total
2001,25,23.35504303290908,19.659289190477917,27.543700141662015,Total
2002,25,29.68995922691395,25.465525401132293,34.41496129067526,Total
2003,25,37.93923399355366,33.17410365278156,43.19666975810184,Total
2004,25,30.086064851837822,25.991004542844244,34.64318508258972,Total
2005,25,35.949391407367735,31.605563524731394,40.72345761650908,Total
2006,25,30.49012882079427,26.523697303221983,34.88240356923483,Total
2007,25,30.114492707681933,26.16990327999637,34.48578415221686,Total
2008,25,32.26080312420409,28.20887809559281,36.73134937105391,Total
2009,25,31.946984967954066,27.917361948359133,36.39486529975712,Total
2010,25,27.496851610490598,23.817894219812214,31.583156207613587,Total
2011,25,33.002170474697195,28.966746474813483,37.442497524054836,Total
2012,25,38.55321795004664,34.16165313860324,43.352763392162736,Total
2013,25,23.01062391086411,19.69090863005762,26.729779407845875,Total
2014,25,21.49575289888479,18.284387247023922,25.108790132780406,Total
2015,25,15.372484577819892,12.702581451164331,18.437830952802095,Total
2000,26,22.59970457902511,19.160587186370737,26.47790016298119,Total
2001,26,25.373827848093235,21.59447592526392,29.624316441158424,Total
2002,26,29.65425098575944,25.502354560760413,34.28943584911508,Total
2003,26,33.98445335592333,29.491278449294573,38.96866758955055,Total
2004,26,35.48047429382411,30.916480099007426,40.528467026797685,Total
2005,26,34.966305196810346,30.602220974553617,39.778162388027965,Total
2006,26,33.10681800668416,28.98342904362524,37.65232077593279,Total
2007,26,32.61917951515527,28.55652496557961,37.097730452512685,Total
2008,26,34.39144827625249,30.202920826301288,38.99841486651675,Total
