Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2000,0-4,48.60267314702309,32.29612333945067,70.24439497182468,Non-UK born
2001,0-4,31.075770039301705,18.10278122586105,49.75531819012267,Non-UK born
2002,0-4,53.17074899861756,35.87408107018701,75.90455034349662,Non-UK born
2003,0-4,29.812806954229497,17.949257291375837,46.55639103667854,Non-UK born
2004,0-4,28.8845467674794,16.826312920919698,46.24695746479757,Non-UK born
2005,0-4,53.70208766865812,36.732188211191115,75.81132456101977,Non-UK born
2006,0-4,14.45434834979523,7.468772715878364,25.248837687517412,Non-UK born
2007,0-4,16.065178725113316,8.782982702737506,26.954640107677527,Non-UK born
2008,0-4,19.87478883036868,11.77905945918439,31.410734889670618,Non-UK born
2009,0-4,18.588224359868025,11.354170347510523,28.708004928365256,Non-UK born
2010,0-4,9.508615862484284,4.347944657085856,18.050314789510068,Non-UK born
2011,0-4,19.228376559477894,11.201237933749521,30.786493553863895,Non-UK born
2012,0-4,13.035503123865212,7.126630859040214,21.871359250864142,Non-UK born
2013,0-4,11.691530655193379,5.606543394440015,21.50114114251716,Non-UK born
2014,0-4,10.084619122271423,5.0342055311723275,18.044169268775228,Non-UK born
2015,0-4,13.550660110728252,7.4082719775258425,22.735705139412655,Non-UK born
2016,0-4,0,0,3.7972530563419338,Non-UK born
2000,5-9,11.598848550671152,5.790103406093444,20.75354398947874,Non-UK born
2001,5-9,31.549253952935935,21.848775503463248,44.0869201388196,Non-UK born
2002,5-9,36.6956445764711,26.446992907673497,49.60185118910546,Non-UK born
2003,5-9,24.6653850339149,17.081496162045973,34.46740331183801,Non-UK born
2004,5-9,24.570998295882376,16.694801235795865,34.876570763087045,Non-UK born
2005,5-9,27.99278697489112,20.25851873366307,37.706100351136065,Non-UK born
2006,5-9,24.811696942844485,17.88208875054066,33.53820633790616,Non-UK born
2007,5-9,19.29658280220435,13.363444544783551,26.965040321460133,Non-UK born
2008,5-9,21.63526548273686,15.153073960945475,29.952326986529755,Non-UK born
2009,5-9,15.883274364395175,10.637278120268117,22.81103144810912,Non-UK born
2010,5-9,15.530183198642547,10.234488586330434,22.595601187864652,Non-UK born
2011,5-9,13.796376519670874,8.928287454584714,20.366173325274612,Non-UK born
2012,5-9,18.046353347598547,12.569946326288257,25.098108932472122,Non-UK born
2013,5-9,13.232764324467382,8.563547358914555,19.534170542559412,Non-UK born
2014,5-9,10.992109576994949,6.968054557684528,16.49356144103356,Non-UK born
2015,5-9,4.841208365608056,2.4167137733420354,8.66225904571067,Non-UK born
2016,5-9,0,0,1.5021396535127498,Non-UK born
2000,10-14,46.90058665479578,35.702899591959685,60.49833968948296,Non-UK born
2001,10-14,61.40426838388689,48.537526041723666,76.63530591989871,Non-UK born
2002,10-14,51.735555432923135,40.69329624568973,64.85096672978365,Non-UK born
2003,10-14,43.3153053428226,33.89155874348818,54.5484584231171,Non-UK born
2004,10-14,49.003260077996856,38.34203301607468,61.71149605908836,Non-UK born
2005,10-14,42.04084969228433,32.89437568765305,52.943492452883845,Non-UK born
2006,10-14,43.50170330612945,33.97519119580608,54.87147949115299,Non-UK born
2007,10-14,50.0534424776454,40.543449107116686,61.123820224368984,Non-UK born
2008,10-14,49.12861353881161,39.74798213959258,60.05718240862364,Non-UK born
2009,10-14,33.94660342717258,26.512578916051016,42.81902114591331,Non-UK born
2010,10-14,26.209438779823806,20.094626425105506,33.599317656599816,Non-UK born
2011,10-14,39.7598678749006,32.012165425881065,48.81630718934772,Non-UK born
2012,10-14,32.27565151019518,25.343328423657617,40.519124850898095,Non-UK born
2013,10-14,23.106367766180995,17.30825504737131,30.223697947110068,Non-UK born
2014,10-14,16.00601826286684,11.434934111941677,21.79565395147939,Non-UK born
2015,10-14,10.204943415348236,6.8344107657043285,14.656001012959077,Non-UK born
2016,10-14,0,0,1.327269259926577,Non-UK born
2000,15-19,107.10505012765427,91.69634857236187,124.36204056959308,Non-UK born
2001,15-19,122.71855058235529,107.03705102258854,140.05101004709732,Non-UK born
2002,15-19,127.59083317361662,111.73264207210937,145.06875854747827,Non-UK born
2003,15-19,138.67311722570352,122.50747431374036,156.37868028521132,Non-UK born
2004,15-19,133.54402430394833,117.53260519251083,151.12795329448147,Non-UK born
2005,15-19,137.73149294993115,122.01528105328131,154.91051106005406,Non-UK born
2006,15-19,123.98830575241686,109.66434409856925,139.66346432373993,Non-UK born
2007,15-19,94.50659680915885,82.63666153490011,107.6028644389858,Non-UK born
2008,15-19,89.97552665674937,78.60215778292907,102.53216806289917,Non-UK born
2009,15-19,89.78574875702854,78.7848726326981,101.89284273984855,Non-UK born
2010,15-19,77.7069078276524,67.7989050231131,88.65553704089919,Non-UK born
2011,15-19,74.68313784631148,64.8551950921924,85.57962977631047,Non-UK born
2012,15-19,76.6833400167437,66.84112288758143,87.56676384607732,Non-UK born
2013,15-19,66.7384356376539,57.787534807207,76.68304641944351,Non-UK born
2014,15-19,50.34710455738118,42.75647922772065,58.896846540445644,Non-UK born
2015,15-19,40.99200655872105,34.392433144316854,48.488954670899794,Non-UK born
2016,15-19,0,0,1.0792855984580942,Non-UK born
